,0
0,Wyoming
1,Wisconsin
2,West Virginia
3,Washington
4,Virginia
5,Vermont
6,Utah
7,Texas
8,Tennessee
9,South Dakota
10,South Carolina
11,Rhode Island
12,Pennsylvania
13,Oregon
14,Oklahoma
15,Ohio
16,North Dakota
17,North Carolina
18,New York
19,New Mexico
20,New Jersey
21,New Hampshire
22,Nevada
23,Nebraska
24,Montana
25,Missouri
26,Mississippi
27,Minnesota
28,Michigan
29,Massachusetts
30,Maryland
31,Maine
32,Louisiana
33,Kentucky
34,Kansas
35,Iowa
36,Indiana
37,Illinois
38,Idaho
39,Hawaii
40,Georgia
41,Florida
